単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/5/1,0:00,2160,0,0,909,0,68,1347,0,108,0,0,30,0,0,0,-378,75,2160
2025/5/1,0:30,2138,0,0,766,0,61,1375,0,105,0,0,26,0,0,0,-270,76,2138
2025/5/1,1:00,2179,0,0,709,0,63,1423,0,105,0,0,25,0,0,0,-222,76,2179
2025/5/1,1:30,2221,0,0,681,0,62,1431,0,106,0,0,23,0,0,0,-158,76,2221
2025/5/1,2:00,2301,0,0,729,0,64,1570,0,106,0,0,23,0,0,0,-266,75,2301
2025/5/1,2:30,2416,0,0,682,0,62,1618,0,106,0,0,24,0,0,0,-154,78,2416
2025/5/1,3:00,2498,0,0,845,0,71,1669,0,106,0,0,26,0,0,0,-294,76,2498
2025/5/1,3:30,2539,0,0,872,0,135,1668,0,106,0,0,25,0,0,0,-342,76,2539
2025/5/1,4:00,2587,0,0,893,0,125,1681,0,106,0,0,26,0,0,0,-320,76,2587
2025/5/1,4:30,2622,0,0,802,0,124,1736,0,105,0,0,29,0,0,0,-250,76,2622
2025/5/1,5:00,2616,0,0,937,0,204,1631,0,104,11,0,31,0,0,0,-378,76,2616
2025/5/1,5:30,2564,0,0,942,0,189,1616,0,106,65,0,33,0,0,0,-464,76,2564
2025/5/1,6:00,2530,0,0,789,0,130,1577,0,106,156,0,30,0,0,0,-336,78,2530
2025/5/1,6:30,2459,0,0,678,0,105,1583,0,106,290,0,23,0,0,0,-402,76,2459
2025/5/1,7:00,2387,0,0,673,0,68,1500,0,104,430,0,16,0,0,0,-480,76,2387
2025/5/1,7:30,2381,0,0,854,0,69,1446,0,104,563,0,10,0,0,0,-742,76,2381
2025/5/1,8:00,2475,0,0,675,0,66,1254,0,105,718,0,10,0,0,0,-428,76,2475
2025/5/1,8:30,2589,0,0,588,0,69,1246,0,106,864,0,12,0,0,0,-372,76,2589
2025/5/1,9:00,2652,0,0,501,0,65,1215,0,106,967,0,13,0,0,0,-290,76,2652
2025/5/1,9:30,2690,0,0,612,0,66,1233,0,105,1076,0,15,0,0,0,-496,78,2690
2025/5/1,10:00,2701,0,0,709,0,64,1221,0,105,1141,0,13,0,0,0,-628,76,2701
2025/5/1,10:30,2758,0,0,771,0,67,1187,0,106,1198,0,17,0,0,0,-664,76,2758
2025/5/1,11:00,2744,0,0,738,0,66,1075,0,105,1220,0,18,0,0,0,-554,76,2744
2025/5/1,11:30,2755,0,0,654,0,70,1088,0,106,1239,0,19,0,0,0,-496,76,2755
2025/5/1,12:00,2652,0,0,567,0,70,1074,0,107,1228,0,17,0,-114,0,-374,78,2652
2025/5/1,12:30,2617,0,0,512,0,66,1033,0,105,1219,0,19,0,0,0,-414,76,2617
2025/5/1,13:00,2689,0,0,574,0,68,1083,0,104,1183,0,24,0,0,0,-422,76,2689
2025/5/1,13:30,2693,0,0,643,0,68,1100,0,104,1129,0,23,0,0,0,-452,76,2693
2025/5/1,14:00,2673,0,0,734,0,64,1198,0,105,1043,0,21,0,0,0,-568,76,2673
2025/5/1,14:30,2640,0,0,768,0,67,1167,0,105,944,0,25,0,0,0,-514,78,2640
2025/5/1,15:00,2577,0,0,794,0,64,1308,0,105,810,0,30,0,0,0,-610,76,2577
2025/5/1,15:30,2596,0,0,777,0,67,1452,0,105,679,0,31,0,0,0,-592,76,2596
2025/5/1,16:00,2604,0,0,781,0,67,1623,0,105,528,0,32,0,0,0,-608,76,2604
2025/5/1,16:30,2618,0,0,856,0,64,1703,0,105,386,0,32,0,0,0,-606,78,2618
2025/5/1,17:00,2580,0,0,925,0,67,1740,0,105,239,0,35,0,0,0,-606,76,2580
2025/5/1,17:30,2561,0,0,939,0,69,1709,0,105,131,0,38,0,0,0,-506,76,2561
2025/5/1,18:00,2537,0,0,938,0,64,1683,0,105,41,0,42,0,0,0,-412,76,2537
2025/5/1,18:30,2563,0,0,942,0,62,1731,0,106,8,0,37,0,0,0,-398,76,2563
2025/5/1,19:00,2555,0,0,938,0,64,1701,0,105,1,0,37,0,0,0,-366,76,2555
2025/5/1,19:30,2505,0,0,941,0,63,1702,0,105,1,0,42,0,0,0,-426,78,2505
2025/5/1,20:00,2482,0,0,940,0,60,1673,0,104,0,0,40,0,0,0,-412,76,2482
2025/5/1,20:30,2441,0,0,941,0,63,1650,0,105,1,0,41,0,0,0,-436,76,2441
2025/5/1,21:00,2384,0,0,941,0,63,1539,0,105,0,0,42,0,0,0,-384,78,2384
2025/5/1,21:30,2335,0,0,941,0,64,1522,0,105,0,0,36,0,0,0,-410,76,2335
2025/5/1,22:00,2263,0,0,935,0,61,1398,0,105,0,0,34,0,0,0,-344,76,2263
2025/5/1,22:30,2209,0,0,941,0,64,1370,0,105,0,0,35,0,0,0,-382,76,2209
2025/5/1,23:00,2193,0,0,899,0,64,1203,0,105,0,0,35,0,0,0,-188,76,2193
2025/5/1,23:30,2116,0,0,867,0,62,1216,0,107,0,0,36,0,0,0,-248,76,2116
2025/5/2,0:00,2057,0,0,935,0,63,1284,0,103,0,0,43,0,0,0,-432,61,2057
2025/5/2,0:30,2034,0,0,941,0,63,1321,0,106,0,0,44,0,0,0,-502,62,2034
2025/5/2,1:00,2053,0,0,939,0,63,1309,0,105,0,0,44,0,0,0,-466,60,2053
2025/5/2,1:30,2096,0,0,915,0,61,1287,0,102,0,0,39,0,0,0,-368,60,2096
2025/5/2,2:00,2170,0,0,926,0,63,1403,0,99,0,0,33,0,0,0,-412,59,2170
2025/5/2,2:30,2273,0,0,940,0,63,1485,0,98,0,0,28,0,0,0,-402,60,2273
2025/5/2,3:00,2342,0,0,939,0,62,1484,0,91,0,0,37,0,0,0,-330,60,2342
2025/5/2,3:30,2384,0,0,941,0,64,1573,0,93,0,0,26,0,0,0,-372,60,2384
2025/5/2,4:00,2403,0,0,934,0,64,1581,0,90,0,0,24,0,0,0,-350,60,2403
2025/5/2,4:30,2423,0,0,890,0,64,1610,0,90,1,0,29,0,0,0,-320,60,2423
2025/5/2,5:00,2399,0,0,839,0,61,1671,0,90,3,0,24,0,0,0,-350,62,2399
2025/5/2,5:30,2352,0,0,835,0,64,1682,0,92,22,0,26,0,0,0,-428,60,2352
2025/5/2,6:00,2332,0,0,885,0,63,1720,0,90,27,0,24,0,0,0,-536,60,2332
2025/5/2,6:30,2281,0,0,852,0,60,1707,0,83,41,0,26,0,0,0,-546,58,2281
2025/5/2,7:00,2285,0,0,831,0,63,1670,0,75,52,0,28,0,0,0,-492,58,2285
2025/5/2,7:30,2346,0,0,910,0,60,1673,0,74,68,0,29,0,0,0,-528,60,2346
2025/5/2,8:00,2431,0,0,873,0,73,1559,0,73,81,0,33,0,0,0,-322,60,2431
2025/5/2,8:30,2540,0,0,827,0,74,1535,0,73,113,0,31,0,0,0,-170,58,2540
2025/5/2,9:00,2609,0,0,881,0,77,1519,0,73,115,0,15,0,0,0,-130,60,2609
2025/5/2,9:30,2629,0,0,915,0,75,1539,0,73,122,0,12,0,0,0,-166,58,2629
2025/5/2,10:00,2627,0,0,927,0,75,1505,0,73,122,0,8,0,0,0,-140,58,2627
2025/5/2,10:30,2636,0,0,938,0,77,1529,0,75,139,0,5,0,0,0,-188,60,2636
2025/5/2,11:00,2643,0,0,939,0,70,1410,0,73,143,0,9,0,0,0,-60,60,2643
2025/5/2,11:30,2641,0,0,915,0,67,1285,0,73,149,0,13,0,0,0,82,58,2641
2025/5/2,12:00,2534,0,0,729,0,65,1263,0,73,129,0,11,0,0,0,204,60,2534
2025/5/2,12:30,2511,0,0,639,0,67,1262,0,72,146,0,10,0,0,0,256,58,2511
