単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/07/01,00:00,14656,0,7136,3930,0,226,1298,2,372,0,0,8,0,-40,0,1640,84,14656
2025/07/01,00:30,14136,0,7278,3916,0,226,1244,2,372,0,0,6,0,-570,0,1582,80,14136
2025/07/01,01:00,13628,0,7062,3928,0,224,1238,2,376,0,0,6,0,-910,0,1618,84,13628
2025/07/01,01:30,13586,0,7336,3922,0,226,1242,0,376,0,0,10,0,-1184,0,1574,84,13586
2025/07/01,02:00,13206,0,7380,3930,0,224,1322,2,372,0,0,8,0,-1256,0,1140,84,13206
2025/07/01,02:30,13242,0,7608,3916,0,224,1326,2,378,0,0,8,0,-1412,0,1110,82,13242
2025/07/01,03:00,13162,0,7540,3926,0,226,1330,2,374,0,0,10,0,-1408,0,1104,58,13162
2025/07/01,03:30,13268,0,7650,3922,0,224,1320,0,374,0,0,8,0,-1408,0,1120,58,13268
2025/07/01,04:00,13108,0,7608,3928,0,224,1332,2,378,0,0,8,0,-1548,0,1122,54,13108
2025/07/01,04:30,13432,0,8000,3918,0,222,1340,2,372,12,0,6,0,-1626,0,1148,38,13432
2025/07/01,05:00,13266,0,7800,3924,0,226,1348,2,370,88,0,4,0,-1718,0,1168,54,13266
2025/07/01,05:30,13400,0,7394,3918,0,222,1340,2,368,460,0,2,0,-1552,0,1192,54,13400
2025/07/01,06:00,13856,0,7202,3924,0,218,1334,2,370,1016,0,2,0,-1310,0,1080,18,13856
2025/07/01,06:30,14480,0,7048,3914,0,218,1382,0,372,1722,0,0,0,-1388,0,1198,14,14480
2025/07/01,07:00,15338,0,6458,3928,2,220,1450,2,368,2500,0,2,0,-966,0,1354,20,15338
2025/07/01,07:30,16464,0,6428,3918,0,222,1492,2,368,3328,0,0,0,-570,0,1258,18,16464
2025/07/01,08:00,18012,0,6252,3932,0,224,1526,2,368,4210,0,2,0,-148,0,1584,60,18012
2025/07/01,08:30,19612,0,6758,3918,0,222,1526,2,360,5102,0,4,0,2,0,1662,56,19612
2025/07/01,09:00,20928,0,6856,3932,0,220,1580,2,362,5956,0,6,0,2,0,1946,66,20928
2025/07/01,09:30,21600,0,6996,3914,0,218,1616,2,364,6790,0,2,0,4,0,1632,62,21600
2025/07/01,10:00,21940,0,7134,3934,0,220,1644,2,366,7454,0,4,0,-32,0,1184,30,21940
2025/07/01,10:30,22236,0,7334,3920,0,222,1644,2,372,7670,0,6,0,-98,0,1140,24,22236
2025/07/01,11:00,22564,0,7696,3924,0,220,1654,0,370,7784,0,4,0,-122,0,1008,26,22564
2025/07/01,11:30,22526,0,7992,3922,0,220,1630,0,366,7622,0,6,0,-124,10,858,24,22526
2025/07/01,12:00,21924,0,7098,3928,0,222,1608,2,370,7622,0,8,0,-118,0,1160,24,21924
2025/07/01,12:30,22054,0,7324,3914,0,220,1576,2,370,7598,0,8,0,-128,0,1134,36,22054
2025/07/01,13:00,23144,0,8998,3930,0,234,1618,2,368,7450,0,4,0,50,0,432,58,23144
2025/07/01,13:30,23552,0,9754,3924,0,236,1666,2,368,7158,0,8,0,552,0,-172,56,23552
2025/07/01,14:00,23562,0,9680,3938,0,236,1766,2,368,6602,0,4,0,836,4,68,58,23562
2025/07/01,14:30,23460,0,9716,3918,0,236,1850,2,372,5822,0,6,0,984,4,494,56,23460
2025/07/01,15:00,23152,0,9288,3932,0,236,1990,2,372,5068,0,6,0,1710,4,486,58,23152
2025/07/01,15:30,23120,0,9368,3918,0,236,2074,2,370,4128,0,6,0,1860,6,1094,58,23120
2025/07/01,16:00,23130,0,9706,3934,0,240,2102,0,368,3292,0,8,0,1284,14,2118,64,23130
2025/07/01,16:30,22738,0,9966,3920,0,240,2098,0,366,2184,0,10,0,1574,16,2306,58,22738
2025/07/01,17:00,21814,0,9644,3932,0,244,2116,2,360,1236,0,10,0,1206,22,2960,82,21814
2025/07/01,17:30,21168,0,9482,3922,0,240,2104,2,364,734,0,8,0,1446,18,2770,78,21168
2025/07/01,18:00,20662,0,9410,3924,0,244,2060,2,360,384,0,10,0,1472,20,2696,80,20662
2025/07/01,18:30,20428,0,9324,3922,0,242,1988,2,364,84,0,14,0,1870,18,2526,74,20428
2025/07/01,19:00,19968,0,9012,3926,0,242,1836,2,364,0,0,20,0,2578,12,1888,88,19968
2025/07/01,19:30,19242,0,8738,3916,0,246,1766,2,360,0,0,20,0,2408,10,1692,84,19242
2025/07/01,20:00,18770,0,8478,3924,0,244,1656,2,358,0,0,12,0,2254,8,1756,78,18770
2025/07/01,20:30,18384,0,8458,3914,0,246,1626,2,360,0,0,8,0,2090,8,1596,76,18384
2025/07/01,21:00,17850,0,8056,3926,0,244,1554,0,362,0,0,12,0,1616,4,2004,72,17850
2025/07/01,21:30,17362,0,7920,3908,0,244,1530,2,362,0,0,12,0,1190,6,2124,64,17362
2025/07/01,22:00,17134,0,8122,3932,0,224,1466,2,366,0,0,8,0,786,0,2190,38,17134
2025/07/01,22:30,16684,0,8056,3916,0,222,1450,0,362,0,0,6,0,548,0,2092,32,16684
2025/07/01,23:00,16116,0,7834,3864,0,228,1458,2,370,0,0,4,0,294,0,2024,38,16116
2025/07/01,23:30,15668,0,8032,3852,0,222,1434,2,368,0,0,4,0,116,0,1600,38,15668
2025/07/02,00:00,14984,0,7414,3924,0,224,1316,2,370,0,0,2,0,-270,0,1966,36,14984
2025/07/02,00:30,14354,0,7670,3916,0,224,1294,2,368,0,0,2,0,-1040,0,1882,36,14354
2025/07/02,01:00,14022,0,7802,3922,0,226,1310,2,370,0,0,2,0,-1622,0,1972,38,14022
2025/07/02,01:30,13690,0,7588,3924,0,220,1304,2,372,0,0,2,0,-1730,0,1968,40,13690
2025/07/02,02:00,13584,0,7826,3926,0,222,1344,0,374,0,0,2,0,-1740,0,1590,40,13584
2025/07/02,02:30,13280,0,7676,3920,0,220,1360,2,370,0,0,2,0,-1746,0,1440,36,13280
2025/07/02,03:00,13524,0,7988,3926,0,214,1388,2,368,0,0,4,0,-1804,0,1396,42,13524
2025/07/02,03:30,13352,0,7778,3920,0,216,1394,2,370,0,0,2,0,-1790,0,1416,44,13352
2025/07/02,04:00,13472,0,8038,3926,0,218,1402,2,368,0,0,2,0,-1794,0,1256,54,13472
2025/07/02,04:30,13488,0,8084,3920,0,224,1388,2,366,8,0,2,0,-1782,0,1230,46,13488
2025/07/02,05:00,13518,0,7914,3922,0,224,1432,2,370,60,0,4,0,-1788,0,1330,48,13518
2025/07/02,05:30,13574,0,7784,3924,0,220,1428,0,362,256,0,8,0,-1780,0,1322,50,13574
2025/07/02,06:00,13880,0,7764,3924,0,222,1440,2,360,510,0,10,0,-1718,0,1308,58,13880
2025/07/02,06:30,14384,0,7068,3918,0,218,1438,2,360,896,0,6,0,-1600,0,2024,54,14384
2025/07/02,07:00,15260,0,6770,3926,0,218,1510,2,356,1306,0,4,0,-1178,0,2286,60,15260
2025/07/02,07:30,16340,0,7076,3920,0,212,1554,0,352,1776,0,2,0,-806,0,2196,58,16340
2025/07/02,08:00,17882,0,7058,3930,0,218,1594,2,356,2244,0,0,0,-160,0,2608,32,17882
2025/07/02,08:30,19448,0,8130,3916,0,208,1602,2,352,2592,0,0,0,30,0,2586,30,19448
2025/07/02,09:00,20330,0,8408,3920,0,224,1624,2,354,2904,0,2,0,72,0,2786,34,20330
2025/07/02,09:30,20882,0,8470,3912,0,226,1656,2,350,3364,0,0,0,74,0,2768,60,20882
2025/07/02,10:00,21024,0,8562,3930,0,224,1666,2,350,3592,0,2,0,206,0,2432,58,21024
2025/07/02,10:30,21060,0,8398,3922,0,226,1662,0,354,3514,0,0,0,206,0,2724,54,21060
2025/07/02,11:00,21068,0,8042,3930,0,226,1670,2,348,3672,0,0,0,174,0,2942,62,21068
2025/07/02,11:30,21156,0,8158,3908,0,228,1666,2,352,4202,0,2,0,-38,0,2616,60,21156
2025/07/02,12:00,20400,0,7358,3928,0,210,1556,2,358,4812,0,2,0,-90,0,2192,72,20400
2025/07/02,12:30,20314,0,7230,3914,0,212,1538,2,352,5170,0,0,0,-88,0,1914,70,20314
2025/07/02,13:00,21404,0,8346,3932,0,224,1570,2,356,5500,0,2,0,170,0,1232,70,21404
2025/07/02,13:30,21886,0,9600,3922,0,228,1650,2,350,5502,0,2,0,188,0,372,70,21886
2025/07/02,14:00,21954,0,9544,3926,0,226,1748,2,354,4984,0,2,0,190,0,908,70,21954
2025/07/02,14:30,21726,0,9612,3910,0,228,1838,0,354,3824,0,4,0,594,0,1288,74,21726
2025/07/02,15:00,21442,0,8660,3936,0,238,1986,2,358,3426,0,2,0,696,0,2066,72,21442
2025/07/02,15:30,21400,0,9360,3910,0,236,2050,2,352,3078,0,2,0,808,8,1522,72,21400
2025/07/02,16:00,21354,0,9476,3936,0,240,2078,0,362,2550,0,2,0,874,14,1746,76,21354
2025/07/02,16:30,20900,0,9274,3910,0,242,2126,2,362,1738,0,4,0,670,20,2474,78,20900
2025/07/02,17:00,20152,0,9428,3940,0,240,2144,2,366,1194,0,4,0,606,18,2138,72,20152
2025/07/02,17:30,19756,0,9874,3910,0,244,2160,2,370,584,0,4,0,888,18,1634,68,19756
2025/07/02,18:00,19436,0,9690,3936,0,244,2136,2,380,184,0,2,0,958,16,1824,64,19436
2025/07/02,18:30,19148,0,9364,3902,0,244,2140,2,386,50,0,0,0,1088,18,1890,64,19148
