単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/6/1,0:00:00,893.1,0,169,578,95,0,1,0,50,0,0,0.1,0,0,0,0,0,893.1
2024/6/1,0:30:00,863,0,152,565,95,0,1,0,50,0,0,0,0,0,0,0,0,863
2024/6/1,1:00:00,830,0,152,538,89,0,1,0,50,0,0,0,0,0,0,0,0,830
2024/6/1,1:30:00,819,0,148,531,89,0,1,0,50,0,0,0,0,0,0,0,0,819
2024/6/1,2:00:00,805,0,151,517,86,0,1,0,50,0,0,0,0,0,0,0,0,805
2024/6/1,2:30:00,822,0,151,534,86,0,1,0,50,0,0,0,0,0,0,0,0,822
2024/6/1,3:00:00,824,0,151,537,85,0,1,0,50,0,0,0,0,0,0,0,0,824
2024/6/1,3:30:00,817,0,147,534,85,0,1,0,50,0,0,0,0,0,0,0,0,817
2024/6/1,4:00:00,818,0,150,534,84,0,1,0,49,0,0,0,0,0,0,0,0,818
2024/6/1,4:30:00,824,0,153,537,84,0,1,0,49,0,0,0,0,0,0,0,0,824
2024/6/1,5:00:00,826,0,147,543,86,0,1,0,49,0,0,0,0,0,0,0,0,826
2024/6/1,5:30:00,822,0,146,540,86,0,1,0,49,0,0,0,0,0,0,0,0,822
2024/6/1,6:00:00,817.1,0,148,526,89,0,1,0,49,4,0,0.1,0,0,0,0,0,817.1
2024/6/1,6:30:00,842.3,0,149,540,89,0,1,0,50,13,0,0.3,0,0,0,0,0,842.3
2024/6/1,7:00:00,875.3,0,151,562,97,0,1,0,50,14,0,0.3,0,0,0,0,0,875.3
2024/6/1,7:30:00,906.2,0,148,588,97,0,1,0,50,22,0,0.2,0,0,0,0,0,906.2
2024/6/1,8:00:00,939.1,0,194,573,103,0,1,0,50,18,0,0.1,0,0,0,0,0,939.1
2024/6/1,8:30:00,973,0,206,597,103,0,1,0,50,16,0,0,0,0,0,0,0,973
2024/6/1,9:00:00,1005.1,0,212,596,107,0,1,0,49,40,0,0.1,0,0,0,0,0,1005.1
2024/6/1,9:30:00,1027.3,0,249,586,107,0,1,0,49,35,0,0.3,0,0,0,0,0,1027.3
2024/6/1,10:00:00,1020.4,0,268,572,104,0,1,0,49,26,0,0.4,0,0,0,0,0,1020.4
2024/6/1,10:30:00,1028.7,0,283,562,104,0,1,0,49,29,0,0.7,0,0,0,0,0,1028.7
