単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/7/1,0:00,2297,0,0,1124,0,206,867,0,91,0,0,51,0,0,0,-82,39,2297
2024/7/1,0:30,2244,0,0,1105,0,220,846,0,90,0,0,49,0,0,0,-104,37,2244
2024/7/1,1:00,2230,0,0,1169,0,222,837,0,88,0,0,51,0,0,0,-176,39,2230
2024/7/1,1:30,2224,0,0,1202,0,248,798,0,87,0,0,54,0,0,0,-202,38,2224
2024/7/1,2:00,2286,0,0,1209,0,318,797,0,82,0,0,53,0,0,0,-214,41,2286
2024/7/1,2:30,2345,0,0,1259,0,342,792,0,76,0,0,51,0,0,0,-214,39,2345
2024/7/1,3:00,2421,0,0,1270,0,308,856,0,67,0,0,46,0,0,0,-170,43,2421
2024/7/1,3:30,2470,0,0,1302,0,322,880,0,60,0,0,44,0,0,0,-180,42,2470
2024/7/1,4:00,2516,0,0,1299,0,293,913,0,62,0,0,34,0,0,0,-130,43,2516
2024/7/1,4:30,2535,0,0,1293,0,316,937,0,60,1,0,34,0,0,0,-148,41,2535
2024/7/1,5:00,2551,0,0,1293,0,310,979,0,63,2,0,35,0,0,0,-176,45,2551
2024/7/1,5:30,2518,0,0,1451,0,248,933,0,61,13,0,33,0,-115,0,-150,44,2518
2024/7/1,6:00,2512,0,0,1374,0,253,942,0,63,16,0,33,0,-118,0,-96,45,2512
2024/7/1,6:30,2587,0,0,1397,0,227,942,0,61,30,0,25,0,-118,0,-20,43,2587
2024/7/1,7:00,2681,0,0,1517,0,255,906,0,63,37,0,19,0,-118,0,-42,43,2681
2024/7/1,7:30,2832,0,0,1586,0,270,908,0,63,45,0,10,0,0,0,-94,43,2832
2024/7/1,8:00,3037,0,0,1771,0,381,876,0,61,103,0,8,0,0,0,-208,45,3037
2024/7/1,8:30,3271,0,0,1906,0,349,853,0,61,148,0,8,0,0,0,-98,43,3271
2024/7/1,9:00,3442,0,0,1956,0,380,857,0,63,172,0,8,0,0,0,-36,44,3442
2024/7/1,9:30,3498,0,0,1955,0,395,869,0,63,298,0,7,0,0,0,-130,42,3498
2024/7/1,10:00,3539,0,0,1891,0,402,806,0,63,463,0,6,0,0,0,-136,43,3539
2024/7/1,10:30,3650,0,0,1899,0,402,809,0,63,537,0,5,0,0,0,-108,44,3650
2024/7/1,11:00,3652,0,0,1942,0,419,855,0,61,459,0,7,0,0,0,-134,44,3652
2024/7/1,11:30,3631,0,0,1902,0,432,997,0,63,420,0,7,0,0,0,-232,42,3631
2024/7/1,12:00,3444,0,0,1809,0,380,851,0,63,467,0,5,0,0,0,-170,37,3444
2024/7/1,12:30,3428,0,0,1814,0,266,809,0,63,583,0,5,0,0,0,-150,38,3428
2024/7/1,13:00,3616,0,0,1953,0,398,873,0,63,560,0,2,0,0,0,-272,40,3616
2024/7/1,13:30,3656,0,0,1963,0,403,898,0,61,523,0,2,0,0,0,-234,40,3656
2024/7/1,14:00,3649,0,0,1918,0,388,931,0,63,465,0,1,0,0,0,-156,40,3649
2024/7/1,14:30,3625,0,0,1939,0,377,904,0,61,394,0,3,0,0,0,-90,38,3625
2024/7/1,15:00,3552,0,0,2007,0,385,1000,0,63,306,0,7,0,0,0,-254,38,3552
2024/7/1,15:30,3551,0,0,2022,0,357,982,0,62,258,0,5,0,0,0,-172,38,3551
2024/7/1,16:00,3505,0,0,2063,0,417,982,0,63,195,0,2,0,0,0,-262,46,3505
2024/7/1,16:30,3458,0,0,2057,0,347,1026,0,61,144,0,2,0,0,0,-224,44,3458
2024/7/1,17:00,3317,0,0,1873,0,235,1066,0,61,90,0,4,0,0,0,-58,46,3317
2024/7/1,17:30,3263,0,0,1783,0,224,1076,0,59,77,0,2,0,0,0,-2,44,3263
2024/7/1,18:00,3217,0,0,1805,0,167,1085,0,59,54,0,1,0,0,0,0,45,3217
2024/7/1,18:30,3175,0,0,1752,0,139,1058,0,59,31,0,2,0,0,0,90,43,3175
2024/7/1,19:00,3124,0,0,1767,0,222,1067,0,57,4,0,1,0,0,0,-40,45,3124
2024/7/1,19:30,3067,0,0,1731,0,163,1003,0,60,2,0,1,0,0,0,64,43,3067
2024/7/1,20:00,3018,0,0,1790,0,158,1010,0,59,1,0,1,0,0,0,-46,45,3018
2024/7/1,20:30,2962,0,0,1796,0,161,1018,0,59,1,0,1,0,0,0,-116,43,2962
2024/7/1,21:00,2912,0,0,1768,0,131,1025,0,56,0,0,0,0,0,0,-114,45,2912
2024/7/1,21:30,2865,0,0,1708,0,124,1006,0,58,0,0,0,0,0,0,-76,43,2865
2024/7/1,22:00,2838,0,0,1649,0,109,976,0,58,0,0,1,0,0,0,0,45,2838
2024/7/1,22:30,2780,0,0,1664,0,73,978,0,58,0,0,0,0,0,0,-38,43,2780
2024/7/1,23:00,2741,0,0,1644,0,74,982,0,58,0,0,0,0,0,0,-62,45,2741
2024/7/1,23:30,2676,0,0,1634,0,71,935,0,58,0,0,0,0,0,0,-68,45,2676
2024/7/2,0:00,2579,0,0,1519,0,74,900,0,57,0,0,0,0,0,0,-16,45,2579
2024/7/2,0:30,2523,0,0,1429,0,74,952,0,57,0,0,0,0,0,0,-32,43,2523
2024/7/2,1:00,2514,0,0,1411,0,74,1018,0,57,0,0,0,0,0,0,-90,45,2514
2024/7/2,1:30,2505,0,0,1373,0,71,1074,0,57,0,0,0,0,0,0,-114,44,2505
2024/7/2,2:00,2557,0,0,1367,0,73,1107,0,57,0,0,0,0,0,0,-92,45,2557
2024/7/2,2:30,2630,0,0,1390,0,74,1162,0,58,0,0,0,0,0,0,-100,45,2630
2024/7/2,3:00,2676,0,0,1345,0,72,1266,0,55,0,0,3,0,0,0,-110,45,2676
2024/7/2,3:30,2702,0,0,1357,0,74,1270,0,57,0,0,2,0,0,0,-102,44,2702
2024/7/2,4:00,2732,0,0,1416,0,74,1247,0,57,0,0,3,0,0,0,-110,45,2732
2024/7/2,4:30,2761,0,0,1423,0,74,1257,0,57,6,0,2,0,0,0,-102,43,2761
2024/7/2,5:00,2775,0,0,1359,0,71,1236,0,57,23,0,1,0,0,0,-18,45,2775
2024/7/2,5:30,2689,0,0,1275,0,73,1168,0,57,80,0,1,0,0,0,-8,44,2689
2024/7/2,6:00,2713,0,0,1301,0,70,1127,0,57,148,0,0,0,0,0,-36,45,2713
2024/7/2,6:30,2734,0,0,1345,0,73,1046,0,57,221,0,0,0,0,0,-52,43,2734
2024/7/2,7:00,2816,0,0,1481,0,73,997,0,57,317,0,0,0,0,0,-154,45,2816
2024/7/2,7:30,2903,0,0,1616,0,73,911,0,58,416,0,0,0,0,0,-216,45,2903
2024/7/2,8:00,3173,0,0,1797,0,72,927,0,57,514,0,0,0,0,0,-240,45,3173
2024/7/2,8:30,3470,0,0,1897,0,75,1069,0,58,564,0,0,0,0,0,-236,43,3470
2024/7/2,9:00,3603,0,0,2043,0,72,1099,0,55,602,0,0,0,0,0,-312,44,3603
2024/7/2,9:30,3708,0,0,2087,0,73,1126,0,58,606,0,0,0,0,0,-284,44,3708
2024/7/2,10:00,3769,0,0,2045,0,74,1186,0,57,602,0,0,0,0,0,-240,45,3769
2024/7/2,10:30,3738,0,0,1855,0,90,1249,0,57,455,0,1,0,0,0,-14,46,3738
2024/7/2,11:00,3711,0,0,1791,0,132,1047,0,55,437,0,1,0,0,0,202,46,3711
2024/7/2,11:30,3725,0,0,1778,0,145,1199,0,58,462,0,0,0,0,0,40,44,3725
2024/7/2,12:00,3548,0,0,1675,0,147,1172,0,58,419,0,0,0,0,0,34,43,3548
2024/7/2,12:30,3537,0,0,1615,0,139,1172,0,55,394,0,0,0,0,0,118,44,3537
2024/7/2,13:00,3678,0,0,1614,0,220,1349,0,57,311,0,1,0,0,0,82,44,3678
2024/7/2,13:30,3731,0,0,1666,0,230,1170,0,57,359,0,1,0,0,0,204,44,3731
2024/7/2,14:00,3732,0,0,1777,0,156,1188,0,57,298,0,2,0,0,0,210,44,3732
2024/7/2,14:30,3724,0,0,1839,0,131,1235,0,56,270,0,3,0,0,0,148,42,3724
2024/7/2,15:00,3658,0,0,2035,0,133,1102,0,58,193,0,2,0,0,0,92,44,3658
2024/7/2,15:30,3648,0,0,2068,0,133,1121,0,58,141,0,0,0,0,0,84,44,3648
2024/7/2,16:00,3606,0,0,2128,0,128,1136,0,57,97,0,0,0,0,0,14,46,3606
2024/7/2,16:30,3570,0,0,2055,0,129,1293,0,56,63,0,1,0,0,0,-70,44,3570
2024/7/2,17:00,3418,0,0,2078,0,134,1245,0,57,42,0,2,0,0,0,-180,40,3418
2024/7/2,17:30,3372,0,0,2079,0,133,1190,0,58,29,0,4,0,0,0,-160,40,3372
2024/7/2,18:00,3341,0,0,2154,0,149,1218,0,58,14,0,3,0,0,0,-292,37,3341
2024/7/2,18:30,3278,0,0,2104,0,145,1182,0,58,8,0,5,0,0,0,-262,37,3278
2024/7/2,19:00,3235,0,0,2016,0,133,1279,0,58,1,0,4,0,0,0,-298,43,3235
2024/7/2,19:30,3160,0,0,2000,0,131,1347,0,58,1,0,4,0,0,0,-422,41,3160
2024/7/2,20:00,3091,0,0,1858,0,132,1216,0,57,1,0,1,0,0,0,-220,45,3091
2024/7/2,20:30,3040,0,0,1770,0,126,1216,0,57,1,0,4,0,0,0,-180,45,3040
2024/7/2,21:00,2989,0,0,1717,0,77,1266,0,57,0,0,6,0,0,0,-178,45,2989
2024/7/2,21:30,2927,0,0,1742,0,73,1232,0,57,0,0,5,0,0,0,-226,43,2927
2024/7/2,22:00,2921,0,0,1720,0,70,1260,0,55,0,0,12,0,0,0,-240,43,2921
2024/7/2,22:30,2847,0,0,1739,0,71,1141,0,58,0,0,15,0,0,0,-220,43,2847
2024/7/2,23:00,2801,0,0,1802,0,69,1026,0,57,0,0,15,0,0,0,-210,43,2801
2024/7/2,23:30,2750,0,0,1665,0,71,1026,0,58,0,0,14,0,0,0,-124,41,2750
2024/7/3,0:00,2674,0,0,1616,0,70,1055,0,56,0,0,11,0,0,0,-176,41,2674
2024/7/3,0:30,2602,0,0,1507,0,68,1050,0,56,0,0,8,0,0,0,-126,40,2602
2024/7/3,1:00,2583,0,0,1518,0,70,1022,0,56,0,0,7,0,0,0,-132,41,2583
2024/7/3,1:30,2602,0,0,1562,0,70,1021,0,58,0,0,8,0,0,0,-156,40,2602
2024/7/3,2:00,2618,0,0,1545,0,68,1032,0,56,0,0,7,0,0,0,-130,39,2618
2024/7/3,2:30,2694,0,0,1618,0,70,1038,0,56,0,0,7,0,0,0,-134,40,2694
2024/7/3,3:00,2739,0,0,1606,0,71,1112,0,56,0,0,7,0,0,0,-158,45,2739
2024/7/3,3:30,2788,0,0,1628,0,69,1169,0,57,0,0,8,0,0,0,-186,44,2788
2024/7/3,4:00,2806,0,0,1614,0,71,1178,0,57,0,0,8,0,0,0,-168,45,2806
2024/7/3,4:30,2854,0,0,1597,0,71,1200,0,55,4,0,9,0,0,0,-126,44,2854
2024/7/3,5:00,2818,0,0,1535,0,69,1115,0,57,17,0,12,0,0,0,-32,46,2818
2024/7/3,5:30,2751,0,0,1439,0,71,1078,0,57,62,0,14,0,0,0,-14,44,2751
2024/7/3,6:00,2767,0,0,1508,0,71,1065,0,57,121,0,15,0,0,0,-114,45,2767
2024/7/3,6:30,2826,0,0,1420,0,73,1079,0,57,214,0,13,0,0,0,-74,44,2826
2024/7/3,7:00,2924,0,0,1394,0,72,1122,0,57,314,0,12,0,0,0,-92,45,2924
2024/7/3,7:30,3095,0,0,1348,0,70,1165,0,57,439,0,7,0,0,0,-36,46,3095
2024/7/3,8:00,3408,0,27,1463,0,72,1201,0,54,502,0,5,0,0,0,38,46,3408
2024/7/3,8:30,3764,0,27,1614,0,70,1350,0,57,644,0,6,0,0,0,-48,43,3764
