単位[MW平均],,供給力,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/1/1,00:00,5775,806,413,3347,155,639,0,246,0,255,0,0,0,22,0,0,0,-108,0,5775
2025/1/1,00:30,5711,806,380,3355,154,615,0,234,0,254,0,0,0,12,0,0,0,-100,0,5710
2025/1/1,01:00,5623,806,362,3421,154,607,0,235,0,254,0,0,0,15,0,0,0,-232,0,5622
2025/1/1,01:30,5690,806,390,3494,153,608,0,238,0,254,0,0,0,14,0,0,0,-268,0,5689
2025/1/1,02:00,5814,806,415,3382,155,611,0,238,0,255,0,0,0,11,0,0,0,-60,0,5813
2025/1/1,02:30,5926,806,441,3280,158,649,0,237,0,254,0,0,0,12,0,0,0,90,0,5927
2025/1/1,03:00,6068,806,422,3317,156,683,0,230,0,255,0,0,0,14,0,52,0,134,0,6069
2025/1/1,03:30,6144,806,352,3401,156,689,0,233,0,254,0,0,0,13,0,121,0,118,0,6143
2025/1/1,04:00,6174,806,291,3644,157,685,0,276,0,255,0,0,0,12,0,197,0,-148,0,6175
2025/1/1,04:30,6146,806,278,3729,154,687,0,285,0,254,0,0,0,13,0,308,0,-368,0,6146
2025/1/1,05:00,6105,806,285,3733,156,686,0,271,0,254,0,0,0,22,0,292,0,-400,0,6105
2025/1/1,05:30,5989,806,282,3676,154,689,0,252,0,255,0,0,0,29,0,243,0,-396,0,5990
2025/1/1,06:00,5955,806,281,3601,152,699,0,247,0,255,0,0,0,30,0,262,0,-378,0,5955
2025/1/1,06:30,5912,806,310,3587,155,699,0,240,0,255,0,0,0,33,0,226,0,-398,0,5913
2025/1/1,07:00,5958,806,306,3265,154,708,0,238,0,254,0,3,0,39,0,284,0,-100,0,5957
2025/1/1,07:30,6150,806,468,3273,154,695,0,248,0,253,0,207,0,39,0,443,1,-438,0,6149
2025/1/1,08:00,6293,806,454,3226,156,684,52,260,0,255,0,856,0,42,0,526,1,-972,0,6294
2025/1/1,08:30,6138,806,387,2829,159,668,104,251,0,255,0,1516,0,58,0,311,1,-1104,0,6137
2025/1/1,09:00,5737,804,337,2339,150,606,295,270,0,254,0,2160,0,60,0,-137,1,-1108,0,5736
2025/1/1,09:30,5285,806,365,2008,142,470,402,292,0,254,0,2726,0,62,0,-614,0,-1228,0,5283
2025/1/1,10:00,4922,808,328,1566,139,410,415,265,0,255,0,3214,0,67,0,-1041,0,-1088,0,4923
2025/1/1,10:30,4706,804,373,1477,136,406,415,275,0,254,0,3582,0,71,0,-1497,0,-1176,0,4705
2025/1/1,11:00,4603,806,367,1454,136,408,414,230,0,254,0,3829,0,73,0,-1594,0,-1360,0,4603
2025/1/1,11:30,4532,806,405,1455,137,408,414,219,0,254,0,3979,0,76,0,-1816,0,-1392,0,4531
2025/1/1,12:00,4518,806,426,1452,139,402,411,217,0,255,0,4002,0,70,0,-1823,-2,-1426,0,4518
2025/1/1,12:30,4342,806,389,1453,136,411,415,215,0,255,0,3942,0,71,0,-1936,-2,-1398,0,4342
2025/1/1,13:00,4237,806,354,1459,138,414,415,226,0,254,0,3830,0,69,0,-1933,-2,-1378,0,4237
2025/1/1,13:30,4103,808,482,1482,135,409,415,227,0,253,0,3552,0,65,0,-1916,-2,-1392,0,4103
2025/1/1,14:00,4114,804,486,1518,134,418,415,270,0,253,0,3171,0,65,0,-1667,-2,-1336,0,4114
2025/1/1,14:30,4228,808,445,1518,137,439,427,292,0,253,0,2699,0,66,0,-1254,-2,-1172,0,4229
2025/1/1,15:00,4436,804,466,1578,141,541,329,329,0,254,0,2110,0,68,0,-1102,-2,-752,0,4435
