単位[MW平均],,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（LNG）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/2/1,0:00,16049,4596,6415,2778,1,679,698,0,151,0,0,14,0,216,0,380,121,16049
2025/2/1,0:30,15560,4597,6488,2423,1,681,613,0,152,0,0,21,0,146,0,318,120,15560
2025/2/1,1:00,15248,4597,6386,2325,1,682,605,0,152,0,0,18,0,133,0,228,121,15248
2025/2/1,1:30,15182,4597,6394,2315,1,684,596,0,152,0,0,18,0,-166,0,468,123,15182
2025/2/1,2:00,15282,4597,6708,2326,1,686,596,0,152,0,0,20,0,-329,0,398,127,15282
2025/2/1,2:30,15309,4596,6836,2323,1,688,596,0,152,0,0,17,0,-329,0,304,125,15309
2025/2/1,3:00,15436,4596,7161,2324,1,688,593,0,152,0,0,15,0,-328,0,108,126,15436
2025/2/1,3:30,15242,4596,6549,2321,1,689,594,0,152,0,0,16,0,-328,0,526,126,15242
2025/2/1,4:00,15119,4597,6536,2331,1,699,588,0,152,0,0,11,0,-328,0,408,124,15119
2025/2/1,4:30,14978,4597,6356,2340,1,698,592,0,152,0,0,8,0,-328,0,440,122,14978
2025/2/1,5:00,14875,4596,6650,2396,1,696,764,0,152,0,0,11,0,-328,0,-186,123,14875
2025/2/1,5:30,14894,4596,6013,2401,1,695,781,0,152,0,0,16,0,-328,0,448,119,14894
2025/2/1,6:00,15275,4596,6365,2389,1,692,823,0,152,0,0,13,0,-327,0,448,123,15275
2025/2/1,6:30,15841,4597,6459,2386,1,695,916,0,152,0,0,12,0,-327,0,830,120,15841
2025/2/1,7:00,16485,4597,6774,2385,1,698,1070,0,152,53,0,11,0,-327,0,950,121,16485
2025/2/1,7:30,17162,4597,6438,2277,1,700,1126,0,152,320,0,13,0,-327,0,1744,121,17162
2025/2/1,8:00,17800,4597,6721,2246,1,700,1213,0,152,871,0,8,0,-327,0,1518,100,17800
2025/2/1,8:30,18312,4597,5880,2243,1,698,1213,0,152,1540,0,6,0,-327,0,2212,97,18312
2025/2/1,9:00,18269,4596,5111,2239,1,696,663,0,152,2306,0,2,0,-329,0,2766,66,18269
2025/2/1,9:30,18077,4595,4700,2053,1,697,521,0,152,2955,0,2,0,-656,0,2994,63,18077
2025/2/1,10:00,17671,4596,3575,1994,1,697,474,0,152,3506,0,2,0,-541,0,3178,37,17671
2025/2/1,10:30,17255,4596,2837,2190,1,700,396,0,152,3794,0,2,0,-525,0,3074,38,17255
2025/2/1,11:00,17058,4596,2571,2329,1,703,381,0,152,3347,0,1,0,-332,0,3232,77,17058
2025/2/1,11:30,17346,4595,3268,2341,1,700,378,0,152,2457,0,1,0,-184,0,3564,73,17346
2025/2/1,12:00,17155,4595,3396,2353,1,702,381,0,152,1757,0,1,0,-111,0,3838,90,17155
2025/2/1,12:30,16887,4595,3405,2264,1,703,385,0,152,1483,0,1,0,-90,0,3898,90,16887
2025/2/1,13:00,17212,4595,3695,2281,1,700,384,0,152,1445,0,1,0,415,0,3454,89,17212
2025/2/1,13:30,17068,4596,3574,2275,1,701,409,0,151,1182,0,1,0,464,0,3624,90,17068
2025/2/1,14:00,16819,4596,3902,2271,1,699,436,0,152,855,0,0,0,369,0,3428,110,16819
2025/2/1,14:30,16842,4595,4096,2270,1,700,468,0,152,629,0,0,0,377,0,3442,112,16842
2025/2/1,15:00,16821,4596,4367,2267,1,701,501,0,152,443,0,0,0,345,0,3324,124,16821
2025/2/1,15:30,17071,4596,4869,2334,1,695,610,0,152,300,0,0,0,368,0,3024,122,17071
2025/2/1,16:00,17424,4596,6066,2294,1,697,1296,0,152,184,0,0,0,575,0,1432,131,17424
2025/2/1,16:30,17711,4596,6114,2363,1,692,1509,0,152,94,0,0,0,391,0,1670,129,17711
2025/2/1,17:00,18095,4596,6710,2621,1,683,1672,0,152,13,0,0,0,286,0,1228,133,18095
2025/2/1,17:30,18371,4596,6425,2621,1,686,1716,0,152,0,0,1,0,206,0,1834,133,18371
2025/2/1,18:00,18387,4596,6766,2622,1,684,1813,0,152,0,0,7,0,142,43,1426,135,18387
2025/2/1,18:30,18360,4596,6710,2620,1,682,1822,0,152,0,0,12,0,131,46,1454,134,18360
2025/2/1,19:00,18234,4596,6579,2617,1,682,1824,0,152,0,0,10,0,132,46,1460,135,18234
2025/2/1,19:30,18066,4596,6748,2619,1,683,1811,0,152,0,0,9,0,134,34,1146,133,18066
2025/2/1,20:00,17867,4595,6674,2618,1,671,1604,0,152,0,0,12,0,135,2,1272,131,17867
2025/2/1,20:30,17678,4595,6685,2541,1,667,1485,0,152,0,0,17,0,131,0,1274,130,17678
2025/2/1,21:00,17485,4595,6703,2321,1,667,1259,0,152,0,0,20,0,141,0,1498,128,17485
2025/2/1,21:30,17011,4596,6447,2267,1,680,1077,0,151,0,0,33,0,128,0,1506,125,17011
2025/2/1,22:00,16551,4595,6252,2299,1,672,802,0,152,0,0,32,0,143,0,1484,119,16551
2025/2/1,22:30,16017,4596,5904,2301,1,688,734,0,152,0,0,22,0,132,0,1368,119,16017
2025/2/1,23:00,15651,4595,5787,2307,1,686,721,0,152,0,0,35,0,168,0,1080,119,15651
2025/2/1,23:30,15191,4595,5694,2300,1,675,702,0,152,0,0,46,0,-6,0,918,114,15191
2025/2/2,0:00,14736,4595,5704,2350,1,689,544,0,152,0,0,50,0,-330,0,868,113,14736
2025/2/2,0:30,14210,4596,5753,2371,1,691,498,0,151,0,0,37,0,-329,0,328,113,14210
2025/2/2,1:00,14053,4595,5515,2382,1,634,494,0,152,0,0,28,0,-329,0,466,115,14053
2025/2/2,1:30,13914,4594,5390,2390,1,577,489,0,152,0,0,23,0,-329,0,514,113,13914
2025/2/2,2:00,14066,4594,5580,2392,1,570,469,0,152,0,0,16,0,-328,0,504,116,14066
2025/2/2,2:30,14112,4595,5645,2404,1,609,467,0,152,0,0,15,0,-328,0,436,116,14112
2025/2/2,3:00,14270,4595,5762,2418,1,572,468,0,152,0,0,10,0,-329,0,502,119,14270
2025/2/2,3:30,14109,4595,5578,2419,1,607,467,0,152,0,0,11,0,-329,0,492,116,14109
2025/2/2,4:00,14024,4595,5705,2404,1,695,446,0,152,0,0,12,0,-328,0,226,116,14024
2025/2/2,4:30,13888,4595,5533,2402,1,729,442,0,152,0,0,18,0,-328,0,228,116,13888
2025/2/2,5:00,13774,4595,5580,2365,1,718,439,0,152,0,0,28,0,-327,0,110,113,13774
2025/2/2,5:30,13618,4595,5212,2330,1,705,441,0,152,0,0,45,0,-328,0,350,115,13618
2025/2/2,6:00,13620,4595,5096,2351,1,709,437,0,152,0,0,49,0,-208,0,324,114,13620
2025/2/2,6:30,14000,4596,5374,2385,1,695,462,0,152,0,0,52,0,-175,0,346,112,14000
2025/2/2,7:00,14556,4595,5723,2385,1,717,519,0,152,37,0,51,0,-184,0,444,116,14556
2025/2/2,7:30,15308,4596,5505,2385,1,706,695,0,152,207,0,42,0,-161,0,1066,114,15308
2025/2/2,8:00,16220,4596,6186,2382,1,724,863,0,152,549,0,27,0,-172,0,796,116,16220
2025/2/2,8:30,16841,4595,5792,2359,1,723,992,0,152,899,0,26,0,-149,0,1338,113,16841
2025/2/2,9:00,17101,4596,5316,2342,1,718,1253,0,152,1255,0,29,0,-189,0,1546,82,17101
2025/2/2,9:30,16992,4596,4196,2150,1,724,1246,0,152,1564,0,27,0,-235,0,2488,83,16992
2025/2/2,10:00,16795,4594,3866,2222,1,664,1227,0,152,1885,0,31,0,-471,0,2558,66,16795
2025/2/2,10:30,16435,4594,2957,2213,1,634,1226,0,151,2251,0,28,0,-291,0,2602,69,16435
2025/2/2,11:00,15973,4594,2684,2157,1,607,941,0,152,2485,0,18,0,-181,0,2460,55,15973
2025/2/2,11:30,15674,4594,2428,2153,1,587,878,0,152,2649,0,11,0,-198,0,2368,51,15674
2025/2/2,12:00,15540,4593,2596,2165,1,625,524,0,152,2586,0,13,0,-177,0,2416,46,15540
2025/2/2,12:30,15402,4594,2814,2217,1,590,488,0,152,2524,0,19,0,-160,0,2114,49,15402
2025/2/2,13:00,16013,4594,3877,2285,1,597,477,0,152,2016,0,27,0,-114,0,2010,91,16013
2025/2/2,13:30,15975,4594,3829,2240,1,589,478,0,152,1304,0,43,0,-182,0,2838,89,15975
2025/2/2,14:00,15856,4594,3864,2172,1,665,492,0,152,937,0,57,0,-322,0,3160,84,15856
2025/2/2,14:30,15420,4594,3278,2198,1,723,500,0,152,833,0,63,0,-332,0,3326,84,15420
2025/2/2,15:00,15252,4594,3457,2211,1,734,517,0,152,1013,0,49,0,-324,0,2762,86,15252
