"単位[MW平均]","","","供給力"
"DATE","TIME","エリア需要","原子力","火力（ＬＮＧ）","火力（石炭）","火力（石油）","火力（その他）","水力","地熱","バイオマス","太陽光発電実績","太陽光出力制御量","風力発電実績","風力出力制御量","揚水","蓄電池","連系線","その他","合計"
"20251001","0:30","8216","2956","478","3650","98","382","430","112","822","4","0","2","0","-228","-36","628","190","8232"
"20251001","1:00","7870","2958","482","3608","92","358","430","110","826","2","0","2","0","-298","-28","848","192","7886"
"20251001","1:30","7666","2952","480","3760","90","346","426","112","820","4","0","4","0","-270","-30","1200","190","7684"
"20251001","2:00","7712","2956","498","3380","90","346","426","110","824","2","0","4","0","-270","-32","800","192","7726"
"20251001","2:30","7586","2956","530","3138","90","334","406","112","822","4","0","6","0","-256","-18","708","192","7608"
"20251001","3:00","7682","2950","558","3212","86","316","412","110","824","2","0","4","0","-266","0","708","192","7692"
"20251001","3:30","7726","2956","436","3488","88","310","446","112","822","4","0","6","0","-318","2","796","192","7748"
"20251001","4:00","7862","2954","434","3848","84","318","466","110","820","2","0","6","0","-304","4","1060","190","7872"
"20251001","4:30","8050","2950","446","3810","88","298","592","112","822","4","0","4","0","-122","28","1156","192","8068"
"20251001","5:00","8416","2952","458","3696","92","280","702","110","822","2","0","8","0","130","20","1032","190","8430"
"20251001","5:30","8612","2950","544","3970","94","280","856","112","822","4","0","6","0","120","30","1348","192","8632"
"20251001","6:00","8692","2952","518","3992","94","280","954","110","824","2","0","8","0","118","24","1364","192","8704"
"20251001","6:30","8596","2952","606","3892","98","278","928","112","820","8","0","6","0","276","-28","1524","192","8616"
"20251001","7:00","8374","2954","620","3756","98","278","842","110","820","166","0","4","0","234","-28","1660","192","8386"
"20251001","7:30","8544","2956","542","3446","102","280","558","112","820","940","0","8","0","-98","-28","1268","192","8562"
"20251001","8:00","8858","2958","556","3146","100","282","498","110","816","2046","0","6","0","-420","-34","1384","192","8872"
"20251001","8:30","9310","2956","770","2440","114","292","440","110","808","3350","0","10","0","-504","-4","1648","190","9324"
"20251001","9:00","9954","2952","680","1976","116","264","438","110","776","4720","0","10","0","-288","-36","1936","190","9972"
"20251001","9:30","10532","2956","626","1722","126","210","410","110","746","5748","0","6","0","-306","16","2008","188","10550"
"20251001","10:00","11030","2910","594","1546","132","202","392","110","726","6574","0","0","0","-736","24","1616","186","11044"
"20251001","10:30","11286","2876","844","1596","132","180","416","110","652","7168","0","4","0","-1036","26","1848","188","11308"
"20251001","11:00","11428","2880","766","1608","132","178","410","110","588","7508","0","2","0","-1050","30","1912","186","11436"
